Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SNOW,Chrome 64.0.3282.186,,2018-03-16 16:40:43,2018-03-16 16:46:04,5m - 21.384s,FAILED
,,,,,,
Test Cases/Main Test Cases/apttus11clm,Chrome 64.0.3282.186,,2018-03-16 16:40:44,2018-03-16 16:46:04,5m - 20.165s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-16 16:40:45,2018-03-16 16:40:52,6.455s,PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-16 16:40:52,2018-03-16 16:40:53,1.216s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-16 16:40:53,2018-03-16 16:40:57,4.594s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 16:40:57,2018-03-16 16:41:12,14.962s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 16:41:12,2018-03-16 16:41:13,0.251s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:41:13,2018-03-16 16:41:13,0.140s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-16 16:41:13,2018-03-16 16:41:42,29.661s,PASSED
Statement - statusAuthoring = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Contract Lifecycle Ma/md-chip_In Authoring  Author C)),Chrome 64.0.3282.186,,2018-03-16 16:41:42,2018-03-16 16:41:43,0.626s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-16 16:41:43,2018-03-16 16:41:43,0.032s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:41:43,2018-03-16 16:41:47,3.942s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:41:47,2018-03-16 16:41:48,0.540s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:41:48,2018-03-16 16:41:48,0.598s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-16 16:41:48,2018-03-16 16:43:22,1m - 33.752s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:43:22,2018-03-16 16:43:54,31.615s,FAILED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-16 16:43:54,2018-03-16 16:44:08,14.522s,PASSED
Statement - statusAuthoring = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Apttus - Contract Lifecycle Ma/md-chip_In Authoring  Language)),Chrome 64.0.3282.186,,2018-03-16 16:44:08,2018-03-16 16:44:08,0.071s,PASSED
verifyEqual,Chrome 64.0.3282.186,,2018-03-16 16:44:08,2018-03-16 16:44:08,0.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:44:08,2018-03-16 16:44:09,0.801s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 16:44:09,2018-03-16 16:44:10,1.026s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 16:44:10,2018-03-16 16:44:11,1.182s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 16:44:11,2018-03-16 16:44:16,5.009s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:44:16,2018-03-16 16:44:17,0.334s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 16:44:17,2018-03-16 16:44:22,5.003s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-16 16:44:22,2018-03-16 16:44:22,0.407s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 16:44:22,2018-03-16 16:44:24,2.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:44:24,2018-03-16 16:44:24,0.213s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 16:44:24,2018-03-16 16:44:26,2.001s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:44:26,2018-03-16 16:44:26,0.303s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 16:44:26,2018-03-16 16:44:28,2.002s,PASSED
click,Chrome 64.0.3282.186,,2018-03-16 16:44:28,2018-03-16 16:44:29,0.171s,PASSED
delay,Chrome 64.0.3282.186,,2018-03-16 16:44:29,2018-03-16 16:44:31,2.002s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-16 16:44:31,2018-03-16 16:44:53,22.703s,PASSED
